code,name,unit,price,quantity,category
"PA-1629","FORRO TIMON AUTO",UNO,"9000",5,"PIEZAS DE AUTO",
"PA-1632","SINFÍN CORTO DE LADA",UNO,"80000",1,"PIEZAS DE AUTO",
"PA-1634","REPARACION BOMBA DE AGUA DE LADA",UNO,"9000",5,"PIEZAS DE AUTO",
"PA-1640","ALFONBRA DE GOMA PARA AUTO",UNO,"9000",3,"PIEZAS DE AUTO",
"PA-1641","REPARACION CAJA 5TA LADA",UNO,"46200",1,"PIEZAS DE AUTO",
"PA-1643","BOMBA ESCLAVA DE LADA",UNO,"14250",6,"PIEZAS DE AUTO",
"PA-1644","BOMBA CLOCHE DE LADA",UNO,"17100",4,"PIEZAS DE AUTO",
"PA-1645","DELCO ELECTRONICO MOSK",UNO,"45000",1,"PIEZAS DE AUTO",
"PA-1647","ESCOBILLAS SILICONA",UNO,"1750",96,"PIEZAS DE AUTO",
"PA-1648","PALANCA EMERGENCIA KAMA",UNO,"16000",6,"PIEZAS DE AUTO",
"PA-1656","SELLOS 60/85/10",UNO,"1500",4,"PIEZAS DE AUTO",
"PA-1658","MEZULAS DE MOSKOVICH JUEGO DE 4 UNID",UNO,"65000",8,"PIEZAS DE AUTO",
"PA-1659","TERMINAL LARGA LADA",UNO,"6500",1,"PIEZAS DE AUTO",
"PA-1660","TERMINAL CORTA LADA",UNO,"6000",3,"PIEZAS DE AUTO",
"PA-1662","TURBINA AGUA DEL PARABRISAS",UNO,"3500",8,"PIEZAS DE AUTO",
"PA-1664","TAPA DELCO MOSKOVICH",UNO,"4500",1,"PIEZAS DE AUTO",
"PA-1701","KIT JUNTA DE MOTOR MOSK",UNO,"10000",2,"PIEZAS DE AUTO",
"PA-1708","BRAZOS Y ESCOBILLAS DE LADA (JUEGO)",UNO,"9000",8,"PIEZAS DE AUTO",
"PA-1712","BANDAS DE FRENO LADA",UNO,"20000",1,"PIEZAS DE AUTO",
"PA-1713","ROLLETES DE KAMA",UNO,"5000",7,"PIEZAS DE AUTO",
"PA-1714","TE DIRECCION DE LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"PA-1718","GOMA DE FOCO DELANTERO DE LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"PA-1720","JUNTA DE BLOCK MOSK",UNO,"5500",13,"PIEZAS DE AUTO",
"PA-1721","CRUCETA 27 Y 28 MM",UNO,"12000",2,"PIEZAS DE AUTO",
"PA-1725","TAPA DE TANQUE DE LADA",UNO,"5500",3,"PIEZAS DE AUTO",
"PA-1726","CANGREJOS DE DIRECCION DE LADA",UNO,"1500",3,"PIEZAS DE AUTO",
"PA-1727","CIERRE O LLAVIN DE ALECO",UNO,"3500",7,"PIEZAS DE AUTO",
"PA-1732","ENGANCHE ELECTRICO TRAILER",UNO,"9000",4,"PIEZAS DE AUTO",
