piso,code,name,unit,price,quantity,category
"Piso EMA","FF-1790","EXTENSION 6M",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1791","EXTENSION FINA",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1792","CINTA REFLECTORA DOS COLORES",UNO,"250",8932,"FERRETERIA",
"Piso EMA","JJ-1593","RELOJ ORIEN HOMBRE",UNO,"8000",1,"JOYERIA",
"Piso EMA","NA-1478","GOMA AUTO 15/185/65",UNO,"32000",3,"NEUMATICOS AUTO",
"Piso EMA","NA-1637","GOMA 15 AUTO",UNO,"30000",15,"NEUMATICOS AUTO",
"Piso EMA","NA-1638","GOMA 14 AUTO",UNO,"30000",5,"NEUMATICOS AUTO",
"Piso EMA","NA-1639","GOMA 13 AUTO",UNO,"24000",2,"NEUMATICOS AUTO",
"Piso EMA","NM-1231","GOMA DE TACOS18X350",UNO,"22000",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1232","GOMA 14/90/90 UNISUKI",UNO,"15000",1,"NEUMATICOS MOTO",
"Piso EMA","NM-1233","GOMA 12",UNO,"15000",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1234","CAMARA 16 X 250",UNO,"3500",11,"NEUMATICOS MOTO",
"Piso EMA","NM-1236","CAMARA 16/300/250",UNO,"3500",1,"NEUMATICOS MOTO",
"Piso EMA","NM-1237","CAMARA 26 MONTAÑESA",UNO,"2200",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1239","VALVULA CRIOLLA",UNO,"300",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1240","VALVULA MOTORINA",UNO,"500",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1241","CAMARA 300 X 18",UNO,"3500",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1242","GOMA M 18X275",UNO,"15000",2,"NEUMATICOS MOTO",
"Piso EMA","NM-1480","GOMA DE TACOS 18 MOTO",UNO,"22000",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1481","GOMA MOTORINA 13",UNO,"17000",0,"NEUMATICOS MOTO",
"Piso EMA","NM-1483","GOMA MOTO JAWA PISTA",UNO,"22000",5,"NEUMATICOS MOTO",
"Piso EMA","NM-1484","GOMA 14 MOTORINA",UNO,"22000",1,"NEUMATICOS MOTO",
"Piso EMA","NM-1656","CAMARA 16/300",UNO,"3500",13,"NEUMATICOS MOTO",
"Piso EMA","NM-1657","CAMARA 16/350",UNO,"3500",9,"NEUMATICOS MOTO",
"Piso EMA","PA-1000","AMORTIGUADOR  AUTO AMERICANO",PAR,"35000",3,"PIEZAS DE AUTO",
"Piso EMA","PA-1003","CABLE CULEBRILLA AX-100",UNO,"1800",1,"PIEZAS DE AUTO",
"Piso EMA","PA-1004","CDI",UNO,"3800",16,"PIEZAS DE AUTO",
